epoch,disc_day_loss,disc_night_loss,gen_D2N_loss,gen_N2D_loss
68,0.690094173,0.05942582,"""[20.388329, 20.398016]""","""[24.834686, 24.815329]"""
69,0.160861969,0.016184786,"""[23.125063, 23.132784]""","""[19.51353, 19.503344]"""
70,0.219970077,0.038154233,"""[20.021486, 20.032694]""","""[15.560165, 15.529048]"""
71,0.208296135,-0.01795016,"""[19.933796, 19.931458]""","""[17.977962, 17.958725]"""
72,0.175530687,0.021558559,"""[19.657707, 19.65047]""","""[17.852303, 17.876122]"""
73,0.457893521,0.022083588,"""[21.25905, 21.262838]""","""[15.272813, 15.233058]"""
74,0.024694722,-0.090044059,"""[18.778534, 18.778902]""","""[18.170353, 18.161478]"""
75,0.330331653,0.062373396,"""[19.159609, 19.175194]""","""[14.938195, 14.986084]"""
76,0.111761734,0.028204234,"""[19.013296, 19.008821]""","""[16.698347, 16.689846]"""
77,0.173624188,-0.079450488,"""[20.145937, 20.15679]""","""[16.87115, 16.863274]"""
78,0.006540929,-0.043437455,"""[16.993406, 16.999672]""","""[16.750896, 16.742506]"""
79,0.02704018,0.002506146,"""[21.294306, 21.295414]""","""[16.76561, 16.74368]"""
80,0.053590082,0.182189226,"""[16.99783, 16.999882]""","""[19.959726, 19.94819]"""
81,0.03368799,-0.007404817,"""[18.356861, 18.348124]""","""[17.597105, 17.60809]"""
82,0.503965557,0.023401827,"""[21.24646, 21.25276]""","""[20.601349, 20.618309]"""
83,0.50607419,-0.046427593,"""[18.258469, 18.266815]""","""[15.263238, 15.236822]"""
84,0.113873258,0.079312973,"""[19.09122, 19.092175]""","""[17.133171, 17.125082]"""
85,0.091153555,0.02409073,"""[22.144423, 22.136297]""","""[18.29209, 18.288551]"""
86,0.247913808,0.166044384,"""[17.72616, 17.728195]""","""[18.832, 18.845284]"""
87,0.366101623,0.151797041,"""[20.572414, 20.559326]""","""[21.998117, 22.01313]"""
88,0.174042583,0.012200059,"""[17.310802, 17.301298]""","""[16.185349, 16.17962]"""
89,0.161350325,0.037724961,"""[15.273904, 15.27548]""","""[18.640587, 18.597677]"""
90,0.029805567,0.598415673,"""[19.512856, 19.515587]""","""[21.664299, 21.6564]"""
91,0.347496748,0.061021999,"""[16.490086, 16.467884]""","""[18.97072, 18.979725]"""
92,0.301272988,0.081618741,"""[20.255346, 20.245777]""","""[28.18733, 28.194113]"""
93,0.379226089,-0.002399297,"""[18.672953, 18.68019]""","""[15.058535, 15.061439]"""
94,0.082908779,0.083523929,"""[18.041931, 18.035532]""","""[18.658514, 18.63303]"""
95,0.124541938,-0.101008587,"""[19.868832, 19.858858]""","""[18.618763, 18.643787]"""
96,0.009949354,0.115683749,"""[18.908253, 18.904919]""","""[18.447306, 18.437288]"""
97,0.13432309,-0.046071999,"""[20.202662, 20.195938]""","""[18.32194, 18.341938]"""
98,0.123738639,-0.027740268,"""[20.837461, 20.838629]""","""[17.286673, 17.295288]"""
99,0.029605245,0.037945583,"""[18.99234, 18.997387]""","""[19.648006, 19.633286]"""
100,0.036577269,-0.00552846,"""[16.007442, 16.00587]""","""[18.425856, 18.422522]"""
101,-0.007610773,0.155356899,"""[17.214289, 17.216316]""","""[14.10165, 14.104865]"""
102,0.008115452,0.181684732,"""[19.441814, 19.454332]""","""[18.612411, 18.590624]"""
103,0.30591929,0.001222419,"""[20.087513, 20.079523]""","""[17.391638, 17.395489]"""
104,0.012540925,-0.009766962,"""[22.011835, 22.015833]""","""[16.256062, 16.282358]"""
105,-0.003710865,-0.061704203,"""[18.995012, 19.00421]""","""[23.07079, 23.069876]"""
106,0.038798556,-0.022153728,"""[14.51381, 14.521949]""","""[18.462412, 18.442612]"""
107,0.22168991,-0.15994674,"""[16.844849, 16.840967]""","""[17.528208, 17.523481]"""
108,-0.004890138,0.084387287,"""[16.518543, 16.524391]""","""[20.316483, 20.291702]"""
109,12.32997513,-0.082435139,"""[20.007065, 20.015198]""","""[16.17217, 16.19928]"""
110,0.03389103,0.068470597,"""[18.869234, 18.873644]""","""[17.402552, 17.40877]"""
111,1.25014329,0.03175997,"""[20.197136, 20.189861]""","""[19.882101, 19.849554]"""
112,0.340725392,-0.115818582,"""[17.480701, 17.474316]""","""[17.015652, 17.013992]"""
113,0.289124459,0.037002072,"""[16.062845, 16.062044]""","""[15.049234, 15.034906]"""
114,0.200036779,-0.091679797,"""[18.71445, 18.71321]""","""[15.764441, 15.760265]"""
115,-0.016278636,-0.042165767,"""[18.599129, 18.60384]""","""[15.220035, 15.229079]"""
116,0.010980722,-0.04155279,"""[19.199623, 19.188137]""","""[18.433228, 18.443398]"""
117,0.069933556,-0.019264434,"""[19.45582, 19.456823]""","""[16.441965, 16.449574]"""
118,0.027597874,-0.0684577,"""[19.314486, 19.308743]""","""[13.550941, 13.544653]"""
119,0.146256819,-0.018014114,"""[20.248253, 20.264025]""","""[17.626434, 17.625578]"""
120,1.309507132,-0.035748549,"""[21.340319, 21.35094]""","""[16.225897, 16.229939]"""
121,0.021224186,-0.113503888,"""[19.19707, 19.17506]""","""[14.83523, 14.814181]"""
122,0.024290673,-0.005911006,"""[16.787802, 16.794542]""","""[14.804611, 14.793352]"""
123,-0.009215528,0.061227191,"""[21.187239, 21.167065]""","""[16.230318, 16.244661]"""
124,0.019787457,-0.069353864,"""[22.795269, 22.797768]""","""[17.265646, 17.23282]"""
125,-0.005767832,1.558854818,"""[20.343904, 20.341915]""","""[14.367299, 14.353826]"""
126,-0.025662763,-0.067222029,"""[20.141478, 20.140594]""","""[14.602779, 14.591362]"""
127,4.957344532,0.002211273,"""[15.453143, 15.447921]""","""[15.045654, 15.030378]"""
